state,district,elevation,avg_temp,latitude,longitude,annual_rainfall,rainfall
UP,Bijnor,269.0,22.3,29.6167,78.3833,1174.0,
UP,Dehradun,620.0,22.0,30.2532,78.1068,2594.0,
UP,Ghazipur,0.0,25.2,25.4,83.55,1181.0,
UP,Gorakhpur,76.0,25.0,26.75,83.3667,2214.0,
UP,Hamirpur,109.0,25.2,25.95,80.15,1037.0,
UP,Hardoi,141.0,24.2,27.3833,80.1667,1096.0,
UP,Jalaun,140.0,25.3,25.9833,79.5,1045.0,
UP,Jhansi,250.0,26.4,25.45,78.5833,1543.0,
UP,Kanpur Nagar,124.0,24.9,26.41665,80.38335,1073.0,
UP,Lucknow,116.0,25.4,26.80835,80.9083,1929.0,
UP,Maharajganj,98.0,23.6,27.4333,83.4167,1854.0,
UP,Meerut,221.0,23.6,29.0167,77.6333,909.0,
UP,Moradabad,0.0,24.5,28.8333,78.75,1141.0,
UP,Nainital,2196.0,15.1,29.445414894985,79.59150585083584,1784.0,
UP,Prayagraj,97.0,25.8,25.45,81.7333,1162.0,
UP,Rae Bareli,107.0,24.9,26.25,81.3667,1083.0,
UP,Rampur,191.0,23.4,28.75,79.0,1141.0,
UP,Shahjahanpur,155.0,23.8,27.8833,79.9,1150.0,
UP,Tehri Garhwal,0.0,19.8,30.4,78.4833,1584.0,
UP,Udham Singh Nagar,233.0,23.0,29.0333,79.4667,1359.0,
UP,Varanasi,84.0,26.0,25.375,82.9417,1608.0,
WB,Bankura,0.0,25.6,23.25,87.05,1504.0,
WB,Birbhum,58.0,25.6,23.65,87.7,1352.0,
WB,Cooch Behar,41.0,25.6,26.3333,89.4667,4130.0,
WB,Dakshin Dinajpur,0.0,24.7,25.216700000000003,88.7833,1821.0,
WB,Darjeeling,2127.0,13.5,27.05,88.2667,4004.0,
WB,Hooghly,0.0,25.7,22.9833,88.3667,1717.0,
WB,Howrah,0.0,25.8,22.5,87.95,1716.0,
WB,Jalpaiguri,83.0,24.8,26.61115315115286,88.466529205807,3673.0,
WB,Kalimpong,0.0,23.3,27.066700000000004,88.4667,2882.0,
WB,Kolkata,4.0,26.8,22.59165,88.39165,2392.0,
WB,Malda,26.0,26.2,25.0333,88.1333,1870.0,
WB,Murshidabad,18.0,25.5,24.1333,88.2667,1451.0,
WB,Nadia,12.0,25.6,23.4,88.5167,1615.0,
WB,Paschim Bardhaman,80.0,25.6,23.5416748406575,87.31668913116404,1436.0,
WB,Paschim Medinipur,0.0,25.8,22.4167,87.3167,1603.0,
WB,Purba Bardhaman,0.0,25.5,23.2333,87.85,1544.0,
WB,Purba Medinipur,5.0,26.3,21.808300000000003,87.76665,1697.0,
WB,Purulia,254.0,24.9,23.3333,86.4167,1304.0,
WB,South 24 Parganas,4.0,26.1,22.21665,88.43335,1763.0,
